increase_amount,in_deficit_count,out_deficit_count
1.02,124,5
1.04,114,15
1.06,99,30
1.08,90,39
1.1,79,50
1.12,63,66
1.14,55,74
1.16,45,84
1.18,41,88
1.2,33,96
1.22,26,103
1.24,22,107
1.26,16,113
1.28,15,114
1.3,13,116
1.32,11,118
1.34,9,120
1.36,9,120
1.38,7,122
1.4,7,122
1.42,6,123
1.44,5,124
1.46,4,125
1.48,3,126
1.5,3,126
1.52,3,126
1.54,1,128
1.56,1,128
1.58,1,128
1.6,1,128
1.62,1,128
1.64,NA,129
1.66,NA,129
1.68,NA,129
1.7,NA,129
1.72,NA,129
1.74,NA,129
1.76,NA,129
1.78,NA,129
1.8,NA,129
1.82,NA,129
1.84,NA,129
1.86,NA,129
1.88,NA,129
1.9,NA,129
1.92,NA,129
1.94,NA,129
1.96,NA,129
1.98,NA,129
2,NA,129
